🇨🇳中国广播🔉,#genre#
CN-CNR-2经济之声,http://ngcdn002.cnr.cn/live/jjzs/index.m3u8
CN-CNR-4经典音乐广播,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
CN-民歌悠扬,https://lhttp.qingting.fm/live/15318585/64k.mp3
CN-上海新闻广播,http://lhttp.qingting.fm/live/270/64k.mp3
CN-上海故事广播,http://lhttp.qingting.fm/live/268/64k.mp3
CN-CGTNArabic,http://livear.cgtn.com/200a/prog_index.m3u8
CN-CGTNEnglish,http://live.cgtn.com/200/prog_index.m3u8
CN-MYFM全国音乐频道——FM106.3长春少儿与老年生活广播,http://lhttp.qingting.fm/live/4984/64k.mp3
CN-苏州儿童广播,http://lhttp.qingting.fm/live/2807/64k.mp3
CN-广西女主播电台,http://live.xmcdn.com/live/300/64.m3u8
CN-巴音郭楞交通文艺广播,http://live.xmcdn.com/live/1600/64.m3u8
CN-河南新闻广播,http://lhttp.qingting.fm/live/1215/64k.mp3
CN-陕西经典音乐广播·年代878,http://lhttp.qingting.fm/live/1608/64k.mp3
CN-吉林经济广播,http://stream3.jlntv.cn/fm953/playlist.m3u8
CN-贵州旅游广播,http://satellitepull.cnr.cn/live/wx32gzlygb/playlist.m3u8
CN-云州人民广播电台,https://lhttp.qingting.fm/live/20210885/64k.mp3
CN-CGTNSpanish,http://livees.cgtn.com/200e/prog_index.m3u8
CN-西藏对外交通广播,http://satellitepull.cnr.cn/live/wxxzdwjtgb/playlist.m3u8
CN-大兴区人民广播电台,http://lhttp.qingting.fm/live/5021739/64k.mp3
CN-玉环人民广播电台,http://live.xmcdn.com/live/700/64.m3u8
CN-河南卷卷猫电台,http://lhttp.qingting.fm/live/20500038/64k.mp3
CN-江苏财经广播,http://satellitepull.cnr.cn/live/wx32jscjgb/playlist.m3u8
CN-辽宁经典流行音乐广播,http://lhttp.qingting.fm/live/20021/64k.mp3
CN-朝阳经济广播,http://live.xmcdn.com/live/355/64.m3u8
CN-MusicFMRadioGuangdong,http://satellitepull.cnr.cn/live/wxgdyyzs/playlist.m3u8
CN-鄂尔多斯曲艺评书广播,http://lhttp.qingting.fm/live/20212402/64k.mp3
CN-河南网络广播国乐悠扬,http://stream3.hndt.com/now/8bplFuwp/playlist.m3u8
CN-内蒙古评书曲艺广播,http://ls.qingting.fm/live/1887.m3u8
